video_id,comedian_name,title,content_type,view_count,like_count,duration_seconds,published_at,thumbnail_url,is_duplicate
_MX7jvKoLsM,Laugh Society,48 Minutes of Jimmy O. Yang | Guess How Much?,full_special,6986549,111441,2902,2025-05-24T15:00:57Z,https://i.ytimg.com/vi/_MX7jvKoLsM/hqdefault.jpg,false
TUERjJCw0tE,Dave Chappelle,Dave Chappelle on Transgender for 25 Minutes straight.,full_special,5550239,126099,1507,2021-10-17T12:30:16Z,https://i.ytimg.com/vi/TUERjJCw0tE/hqdefault.jpg,false
f3Y4rWf004M,Dave Chappelle,30 min of Dave Chappelle.,full_special,2502186,24153,1910,2020-08-09T16:39:51Z,https://i.ytimg.com/vi/f3Y4rWf004M/hqdefault.jpg,false
EZfchrc6e9Q,Samay Raina,"Kunal Kamra Exposes Samay Raina, Modi, Shiv Sena, Arnab 😱",full_special,1635492,48420,5573,2026-04-11T11:30:03Z,https://i.ytimg.com/vi/EZfchrc6e9Q/hqdefault.jpg,false
ulTnvrrOKsM,Dave Chappelle,The Best Of Dave Chappelle | David Letterman,compilation,564096,4744,1357,2025-03-05T16:01:05Z,https://i.ytimg.com/vi/ulTnvrrOKsM/hqdefault.jpg,false
PPjYWaqCffQ,Madhur Virli,The IIT Dream | Stand Up Comedy Special by Madhur Virli,full_special,10841597,319391,4346,2024-06-08T19:45:06Z,https://i.ytimg.com/vi/PPjYWaqCffQ/hqdefault.jpg,false
ONiMILytYok,Madhur Virli,LOVE & LATEX | Stand Up Comedy by Madhur Virli,full_special,5218501,169869,1677,2024-02-03T05:00:09Z,https://i.ytimg.com/vi/ONiMILytYok/hqdefault.jpg,false
X035AnATXfQ,Madhur Virli,MasterPeace | Stand Up Comedy Special by Madhur Virli,full_special,4279351,170561,5625,2026-04-01T04:32:32Z,https://i.ytimg.com/vi/X035AnATXfQ/hqdefault.jpg,false
2g93525nrOs,Harsh Gujral,ManHarsh - The Pookies | Crowdwork | Manhar Seth Ft. Harsh Gujral ,crowd_work_clip,2309739,51612,3485,2026-01-03T13:31:32Z,https://i.ytimg.com/vi/2g93525nrOs/hqdefault.jpg,false
qmGWKB5sxbE,Matt Rife,MATT RIFE ROASTS LOS ANGELES | crowdwork compilation,compilation,2125564,30730,1851,2025-05-12T17:27:26Z,https://i.ytimg.com/vi/qmGWKB5sxbE/hqdefault.jpg,false
v1uuDwSg1II,Matt Rife,EURO TRIP COMPILATION | Matt Rife crowd work,compilation,659056,11632,3737,2026-06-09T19:14:49Z,https://i.ytimg.com/vi/v1uuDwSg1II/hqdefault.jpg,false
Oy2QyPQ5L5M,Max Amini,Max Amini FULL COMEDY SPECIAL 2025 | Randomly Selected | Stand Up Comedy,full_special,18999815,228678,3000,2025-02-05T16:30:11Z,https://i.ytimg.com/vi/Oy2QyPQ5L5M/hqdefault.jpg,false
RHenOJXqu3I,Zakir Khan,Indian Love w/ Zakir Khan | Wild Truth Ep. 013,full_special,1392722,31308,3076,2025-08-02T13:54:00Z,https://i.ytimg.com/vi/RHenOJXqu3I/hqdefault.jpg,false
cHLM9L_5gj0,Munawar Faruqui,Doctor & Engineer | Crowd Work | Stand-Up Comedy By Munawar Faruqui,crowd_work_clip,27896600,1085867,1246,2021-05-01T17:30:15Z,https://i.ytimg.com/vi/cHLM9L_5gj0/hqdefault.jpg,false
t4BfHoHawAM,Munawar Faruqui,Stand-Up Comedy | Crowd Work by Munawar Faruqui,crowd_work_clip,19283189,767431,1579,2021-07-10T19:15:12Z,https://i.ytimg.com/vi/t4BfHoHawAM/hqdefault.jpg,false
azrW-87DFAU,Munawar Faruqui,Hanif ki Shaadi | Standup Comedy by Munawar Faruqui | 2023,full_special,18775988,720193,1899,2023-09-14T15:30:11Z,https://i.ytimg.com/vi/azrW-87DFAU/hqdefault.jpg,false
wk62YFS3gqc,Munawar Faruqui,Munawar Faruqui - DHANDHO - Standup Comedy (Full Special),full_special,14037426,579659,6524,2026-07-11T16:30:15Z,https://i.ytimg.com/vi/wk62YFS3gqc/hqdefault.jpg,false
fQ8kpMzFqZg,Naman Jain,Bachpan | Standup Comedy Special BY NAMAN JAIN,full_special,726455,27525,3199,2026-07-18T13:35:06Z,https://i.ytimg.com/vi/fQ8kpMzFqZg/hqdefault.jpg,false
JXFQBLl2WIw,Nate Jackson,NATE JACKSON OCTOBER 2025 CROWD WORK JOINT,crowd_work_clip,1610267,26815,4526,2025-10-03T23:00:07Z,https://i.ytimg.com/vi/JXFQBLl2WIw/hqdefault.jpg,false
cE7wdyD5U6s,Nate Jackson,NATE JACKSON February 2026 CROWD WORK JOINT,crowd_work_clip,755571,10017,3849,2026-02-28T00:00:52Z,https://i.ytimg.com/vi/cE7wdyD5U6s/hqdefault.jpg,false
