comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Chalchitra Talks",OoViN6no9IY,"Abhishek Upmanyu | Sunil Grover, Hera Pheri and Anurag Kashyap | The Longest Interview Season 3",934926,17404,6961,2025-03-29T14:00:07Z,https://i.ytimg.com/vi/OoViN6no9IY/hqdefault.jpg
"Chappelle Stand Up",akGv9Ua9-Uc,"Best of Dave Chappelle | Funniest Stand Up Comedy Clips Collection - DAVE CHAPPELLE",6138,65,7944,2025-09-28T17:04:20Z,https://i.ytimg.com/vi/akGv9Ua9-Uc/hqdefault.jpg
"Chappelle's Show 2026",cBVsxAJld_g,"Chappelle’s Take on Trump’s Chaos | Funny Stand Up",297278,4238,4603,2026-04-08T01:00:39Z,https://i.ytimg.com/vi/cBVsxAJld_g/hqdefault.jpg
"Chappelle's Show 2026",rvnfD4SLL6s,"The Dark Secrets of the Rich and Famous | Dave Chappelle Comedy Special",112910,1399,4819,2026-04-09T01:00:50Z,https://i.ytimg.com/vi/rvnfD4SLL6s/hqdefault.jpg
"Chappelle's Show 2026",zQBUiuGWvIY,"Dave Chappelle's Raw Take on Trump – No Holds Barred | Dave Chappelle Comedy Special",109464,1534,4260,2026-04-04T01:00:56Z,https://i.ytimg.com/vi/zQBUiuGWvIY/hqdefault.jpg
"Chappelle's Show 2026",V1nUve3d0PY,"Trump and Chappelle: The Raw Truth | Dave Chappelle Comedy Special",32033,390,4457,2026-04-10T01:00:23Z,https://i.ytimg.com/vi/V1nUve3d0PY/hqdefault.jpg
"Chappelle’s Comedy Corner",BjloZ57TF78,"Dave Chappelle: The Truth About People Who Go on Cruises | Stand-Up Comedy",1010198,14391,4344,2026-02-26T01:00:20Z,https://i.ytimg.com/vi/BjloZ57TF78/hqdefault.jpg
"Chart master",fzRNriBqbk4,"Abhishek upmanyu  new standup comedy",1118182,0,2142,2025-05-03T11:32:05Z,https://i.ytimg.com/vi/fzRNriBqbk4/hqdefault.jpg
"Chirag Panjwani",zZCSz2B1JMU,"IIT Tough Hai | Indian Stand Up Comedy by Chirag Panjwani",3661596,105140,1202,2023-04-11T05:29:40Z,https://i.ytimg.com/vi/zZCSz2B1JMU/hqdefault.jpg
"Chirag Panjwani",P6LkCNRLwCI,"Dr. Panjwani | Stand Up Comedy Special by Chirag Panjwani",3644256,255160,4834,2026-06-03T13:30:07Z,https://i.ytimg.com/vi/P6LkCNRLwCI/hqdefault.jpg
"Chirag Panjwani",HAqVEM6DzvU,"Meri Pehli Shaadi | Stand Up Comedy Special by Chirag Panjwani",1818931,62539,4359,2024-11-15T07:38:57Z,https://i.ytimg.com/vi/HAqVEM6DzvU/hqdefault.jpg
"Chris D'Elia",TSi5zOfEaQE,"Chris D'Elia: Grow Or Die (STANDUP COMEDY SPECIAL)",1128319,29258,4174,2025-03-31T16:00:36Z,https://i.ytimg.com/vi/TSi5zOfEaQE/hqdefault.jpg
"Chris D'Elia",c_DPkzeMn1Q,"FULL SET - CROWDWORK IN HOUSTON - Chris D'Elia Stand Up Comedy",191847,3629,2160,2025-09-02T13:30:42Z,https://i.ytimg.com/vi/c_DPkzeMn1Q/hqdefault.jpg
"Chris D'Elia",cafcBnHqXaQ,"2026 Compilation (Over 1 hour!) - Chris D'Elia Crowd Work Standup",88350,1437,4381,2026-07-21T17:38:01Z,https://i.ytimg.com/vi/cafcBnHqXaQ/hqdefault.jpg
CineDesi,QccCmgU1O1Q,"ABHISHEK UPMANYU | Friends, Crime & The Cosmos | Stand Up Comedy | Reaction | Jaby Koay",2428072,66026,1570,2020-06-05T13:00:22Z,https://i.ytimg.com/vi/QccCmgU1O1Q/hqdefault.jpg
CineDesi,buwMAHwhB7I,"HOSTEL | Anubhav Singh Bassi | Stand Up Comedy Reaction | Jaby Koay",2418712,61281,1539,2020-03-31T04:30:02Z,https://i.ytimg.com/vi/buwMAHwhB7I/hqdefault.jpg
CineDesi,NYdYI4U-igI,"ABHISHEK UPMANYU | HEALTH ANXIETY - Stand Up Comedy REACTION!",2046202,46541,2262,2023-05-18T05:00:08Z,https://i.ytimg.com/vi/NYdYI4U-igI/hqdefault.jpg
CineDesi,pY4j__UjTd8,"Samay Raina - STILL ALIVE Stand Up Reaction!",1671012,47831,6740,2026-04-28T07:08:57Z,https://i.ytimg.com/vi/pY4j__UjTd8/hqdefault.jpg
CineDesi,AmqXsWRHx1w,"AAKASH GUPTA | My First Euro Trip | Stand Up Comedy Reaction!",1623278,35997,1448,2024-02-13T06:00:07Z,https://i.ytimg.com/vi/AmqXsWRHx1w/hqdefault.jpg
CineDesi,YbvJ8ZPHT6w,"ABHISHEK UPMANYU | Tongue Issues - Stand Up Comedy REACTION!",1454855,42059,1214,2023-02-28T06:00:18Z,https://i.ytimg.com/vi/YbvJ8ZPHT6w/hqdefault.jpg
CineDesi,YnViX2Lgi70,"ZAKIR KHAN | CLASS  Stand Up Comedy Reaction!",862253,19763,2261,2025-01-13T10:30:28Z,https://i.ytimg.com/vi/YnViX2Lgi70/hqdefault.jpg
CineDesi,zyDmS4FXSQE,"AAKASH GUPTA | Childhood Dreams - Reaction! | Stand-Up Comedy | Crowdwork",813673,26413,1432,2022-02-03T07:30:06Z,https://i.ytimg.com/vi/zyDmS4FXSQE/hqdefault.jpg
CineDesi,dxpRy64WtY0,"AKAASH SINGH - GASLIT Reaction! | Stand-Up Special",547834,12647,5617,2024-04-17T07:00:17Z,https://i.ytimg.com/vi/dxpRy64WtY0/hqdefault.jpg
"Comedy By Copy",ARcMGz2csWk,"Employee No.1 - Standup Comedy by Abhishek Upmanyu | Story",205555,1309,2045,2025-01-24T05:41:50Z,https://i.ytimg.com/vi/ARcMGz2csWk/hqdefault.jpg
"Comedy Central Stand-Up",ts5FalYIzMw,"Anthony Jeselnik: Caligula - Full Special",3067001,43079,2517,2024-04-29T01:00:07Z,https://i.ytimg.com/vi/ts5FalYIzMw/hqdefault.jpg
"Comedy Central Stand-Up",5S5iZZEtTkg,"John Mulaney: New in Town - Full Special",2898845,53072,2523,2024-05-27T01:00:04Z,https://i.ytimg.com/vi/5S5iZZEtTkg/hqdefault.jpg
"Comedy Central Stand-Up",BUI0sGnx9Us,"“The Grinch That Stole Everything”- Theo Von - Full Special",1603615,22301,1260,2024-05-31T16:00:16Z,https://i.ytimg.com/vi/BUI0sGnx9Us/hqdefault.jpg
"Comedy Central Stand-Up",TxJ_lDsM5Cg,"Comedians Getting Dark and Twisted - Stand-Up Compilation",53740,1242,2554,2023-10-29T16:00:18Z,https://i.ytimg.com/vi/TxJ_lDsM5Cg/hqdefault.jpg
"Comedy Central UK",9D1_TnXvtWY,"Best Ever Chappelle's Show Moments | Chappelle's Show",4215618,29771,1574,2026-02-08T20:00:07Z,https://i.ytimg.com/vi/9D1_TnXvtWY/hqdefault.jpg
"Comedy Club",s-ONlhskCrA,"Dave Chappelle Full Stand Up || Deep In The Heart Of Texas",6702791,82954,3646,2022-03-29T23:34:37Z,https://i.ytimg.com/vi/s-ONlhskCrA/hqdefault.jpg
"Comedy Club",pvc_XDDrwgc,"Dave Chappelle Full Stand Up ☆ || Equa•nimity ||☆ Everything I Say Upsets Somebody",6373736,91161,3349,2022-02-04T04:52:03Z,https://i.ytimg.com/vi/pvc_XDDrwgc/hqdefault.jpg
"Comedy Dynamics",e44hXvuy3OA,"Over an Hour of 420 Jokes - Stand-Up Comedy from Comedy Dynamics",2513675,18647,3667,2024-04-20T17:00:23Z,https://i.ytimg.com/vi/e44hXvuy3OA/hqdefault.jpg
